Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000010	0.021194	0.015775	0.000000	0.111185	
0.000010	0.021029	0.015944	0.000000	0.104884	
0.000010	0.020911	0.015520	0.000000	0.100185	
0.000010	0.020523	0.015541	0.000000	0.109252	
0.000010	0.020270	0.015128	0.000000	0.109202	
0.000010	0.021046	0.015512	0.000000	0.115900	
0.000010	0.020872	0.015459	0.000000	0.109144	
0.000010	0.020513	0.015245	0.000000	0.105808	
0.000100	0.021223	0.016093	0.000000	0.107220	
0.000100	0.021443	0.016340	0.000000	0.108908	
0.000100	0.021594	0.015862	0.000000	0.105905	
0.000100	0.021139	0.016356	0.000000	0.102383	
0.000100	0.021013	0.015950	0.000000	0.108855	
0.000100	0.021103	0.015833	0.000000	0.105216	
0.000100	0.021367	0.015852	0.000000	0.123808	
0.000100	0.020476	0.016046	0.000000	0.119207	
0.000100	0.021336	0.015841	0.000000	0.135943	
0.000100	0.021226	0.015863	0.000000	0.103543	
0.000100	0.021167	0.015620	0.000000	0.106419	
0.000100	0.021019	0.016142	0.000000	0.105353	
0.000100	0.020757	0.015475	0.000000	0.102197	
0.000100	0.021020	0.015859	0.000000	0.142660	
0.000100	0.021044	0.015780	0.000000	0.108346	
0.000100	0.021004	0.015196	0.000000	0.101662	
0.000100	0.020785	0.015809	0.000000	0.107969	
0.000100	0.020434	0.015263	0.000000	0.097633	
0.000100	0.020426	0.015147	0.000000	0.114402	
0.000100	0.020716	0.015355	0.000000	0.101368	
0.000100	0.020209	0.015412	0.000000	0.118143	
0.000100	0.020390	0.015486	0.000000	0.129661	
0.000100	0.020520	0.015227	0.000000	0.111728	
0.000100	0.020504	0.015270	0.000000	0.125580	
0.000100	0.020388	0.015124	0.000000	0.102316	
0.000100	0.020225	0.015237	0.000000	0.100277	
0.000100	0.020093	0.015062	0.000000	0.105446	
0.000100	0.019889	0.015050	0.000000	0.096028	
0.000100	0.020102	0.014854	0.000000	0.096500	
0.000100	0.019766	0.015223	0.000000	0.099191	
0.000100	0.019747	0.014719	0.000000	0.096994	
0.000100	0.019916	0.014994	0.000000	0.109510	
0.000100	0.021195	0.015841	0.000000	0.101191	
0.000100	0.021292	0.015754	0.000000	0.115636	
0.000100	0.021241	0.016453	0.000000	0.112070	
0.000100	0.021136	0.015771	0.000000	0.103102	
0.000100	0.021229	0.015947	0.000000	0.108028	
0.000100	0.021636	0.015972	0.000000	0.111362	
0.000100	0.021280	0.016180	0.000000	0.105251	
0.000100	0.021354	0.016162	0.000000	0.128109	
0.000100	0.021473	0.016308	0.000000	0.144395	
0.000100	0.021324	0.015806	0.000000	0.111971	
0.000100	0.021357	0.015994	0.000000	0.116615	
0.000100	0.021359	0.015880	0.000000	0.104035	
0.000100	0.021274	0.015721	0.000000	0.114604	
0.000100	0.021704	0.016148	0.000000	0.112081	
0.000100	0.021782	0.015991	0.000000	0.115369	
0.000100	0.021601	0.016115	0.000000	0.109530	
0.000100	0.021914	0.016056	0.000000	0.126376	
0.000100	0.021343	0.015615	0.000000	0.103797	
0.000100	0.021470	0.016293	0.000000	0.125966	
0.000100	0.021064	0.015733	0.000000	0.103440	
0.000100	0.021367	0.015607	0.000000	0.103727	
0.000100	0.021283	0.016377	0.000000	0.115233	
0.000100	0.021715	0.016289	0.000000	0.119127	
0.000100	0.021316	0.016263	0.000000	0.108450	
0.000100	0.021352	0.015907	0.000000	0.112814	
0.000100	0.021935	0.016035	0.000000	0.112271	
0.000100	0.021611	0.016266	0.000000	0.105721	
0.000100	0.021455	0.016122	0.000000	0.103031	
0.000100	0.021515	0.016062	0.000000	0.141540	
0.000100	0.021651	0.016566	0.000000	0.111794	
0.000100	0.021552	0.015899	0.000000	0.107396	
0.000100	0.021955	0.016023	0.000000	0.121809	
0.000100	0.021381	0.016355	0.000000	0.116530	
0.000100	0.021712	0.015983	0.000000	0.102884	
0.000100	0.021602	0.016284	0.000000	0.106942	
0.000100	0.021423	0.016359	0.000000	0.115625	
0.000100	0.021839	0.015974	0.000000	0.114467	
0.000100	0.022020	0.016074	0.000000	0.104417	
0.000100	0.021197	0.016172	0.000000	0.112651	
0.000100	0.021275	0.016138	0.000000	0.105409	
0.000100	0.021860	0.016169	0.000000	0.104312	
0.000100	0.022093	0.016128	0.000000	0.111420	
0.000100	0.021801	0.016318	0.000000	0.130652	
0.000100	0.021227	0.016264	0.000000	0.110872	
0.000100	0.021299	0.016461	0.000000	0.112447	
0.000100	0.021384	0.015799	0.000000	0.114266	
0.000100	0.021219	0.016101	0.000000	0.117414	
0.000100	0.021490	0.016342	0.000000	0.115200	
0.000100	0.021412	0.016190	0.000000	0.121775	
0.000100	0.021627	0.016132	0.000000	0.109696	
0.000100	0.021417	0.016417	0.000000	0.127504	
0.000100	0.021642	0.016197	0.000000	0.183342	
0.000100	0.021498	0.016015	0.000000	0.108370	
0.000100	0.021817	0.016185	0.000000	0.111699	
0.000100	0.021361	0.016418	0.000000	0.108575	
0.000100	0.021353	0.015944	0.000000	0.122030	
0.000100	0.021516	0.015918	0.000000	0.109580	
0.000100	0.021785	0.016148	0.000000	0.114225	
0.000100	0.021348	0.015977	0.000000	0.107150	
0.000100	0.021373	0.015984	0.000000	0.107219	
0.000100	0.021470	0.015901	0.000000	0.108607	
0.000100	0.021656	0.016101	0.000000	0.114094	
0.000100	0.021160	0.016184	0.000000	0.103204	
0.000100	0.021069	0.015995	0.000000	0.109249	
0.000100	0.021589	0.015806	0.000000	0.119544	
0.000100	0.020892	0.015643	0.000000	0.106464	
0.000100	0.021457	0.015935	0.000000	0.112671	
0.000100	0.021248	0.016107	0.000000	0.108794	
0.000100	0.021466	0.016203	0.000000	0.112837	
0.000100	0.021387	0.016136	0.000000	0.115317	
0.000100	0.021963	0.016039	0.000000	0.109406	
0.000100	0.021775	0.015756	0.000000	0.103173	
